id|user_id|user_name|contributors|text|in_reply_to_status_id|favorite_count|coordinates|source|in_reply_to_screen_name|in_reply_to_user_id|is_retweet|retweet_count|geo|created_at|place
854186825455353856|1969365781|JillCarltonTama||RT @tribelaw: Here's the full Post story about how we've fortified and weaponized our Emoluments lawsuit in SDNY: https://t.co/iCYtCVt4wq||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186825581305857|846283780650287104|MotunrayoLiria||RT @KhanUKIP: Trump Must Choose Between a Secular #SyriaOr one run by #ISIS #AlQaedaWe must back #Assad &amp; #Syrian people agains   ||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186825354584064|823297737533767681|tammyn2DILLIGAF||Time to start hanging the traitors in America! https://t.co/bgiiAcKw16||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186825619058689|828293863697739780|mariannescanla1||"RT @nytopinion: Under Trump, ""the clock is being turned back,"" says @CharlesMBlow https://t.co/Fil3g2N2Hj https://t.co/WTdcd8XuAL"||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186825786589184|1021971422|Sanabria__||This is the same shit that got Trump in office. With the two extremes, the most extreme will get into office. It's stupid on our part.|854186385887993856|0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|Sanabria__|1021971422|False|0||Tue Apr 18 04:16:23 +0000 2017|
854186826147516416|3028770020|makoiiCNN||RT @nytimesworld: Trump congratulated Erdogan on vote cementing the Turkish president's autocratic rule https://t.co/hPFNDF9K0l https://t.c   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:24 +0000 2017|
854186826172698624|2685537570|ignamoreno9||RT @soyunargento: Estados unidos: trump bombardeo Afganist  n Argentina: el drama de jimena bar  n: una muela de juicio le lastim   el cachet   ||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:24 +0000 2017|
854186825832964096|87612434|MoniToledo||"RT @DanielSamperO: ""Estudien, vagos"", les dijo Trump a Uribe y Pastrana al cruz  rselos en un pasillo del club Mar-a-lago... #MientoComoPast   "||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186826059456513|3510013880|joshdeluna43||RT @SouthernTexan94: Trump: Nah bro, i said this is some bomb Afghan, not bomb Afghanistan https://t.co/nxBHTC2KDd||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:24 +0000 2017|
854186825304420354|243070444|centralmexico||Donald Trump no presentar   su declaraci  n de impuestos de 2016 pese a  protestas https://t.co/Fn0YthT9WD https://t.co/2gpcbnqVIJ||0||"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
